id	 1hr	 2hr	 3hr	 4hr	 6hr	 7hr	 8hr	 9hr	10hr
S3_H_T17150	7.2561	6.4332	6.2952	6.0258	5.3923	5.033	4.1083	3.2224	3.2224
S3_H_T17152	5.8795	5.4522	5.1718	4.7743	4.3923	3.5638	3.2224	3.2224	3.2224
S3_H_T17159	7.2401	6.5723	6.8074	6.4264	5.9773	5.448	4.7298	3.2224	3.2224
S3_H_T17162	6.0353	5.5564	5.0649	5.0258	4.9229	4.0332	3.2224	3.2224	3.2224
S3_H_T17164	7.2561	6.5044	6.2224	5.3362	5.1293	4.9506	3.8673	3.2224	3.2224
S3_H_T17165	6.8779	5.8303	6.4305	5.9967	5.746	5.591	4.7298	3.2224	3.2224
S3_H_T17166	7.0522	6.5217	6.7907	6.4694	6.4703	6.0919	4.7298	3.2224	3.2224
S3_H_T17167	5.9979	5.1307	5.2713	5.0258	4.8074	3.7702	3.2224	3.2224	3.2224
S3_H_T17168	7.224	6.6371	6.3417	5.9055	5.746	5.0726	3.8673	3.2224	3.2224
S3_H_T17169	6.142	5.622	5.1193	4.9055	3.8074	3.2224	3.2224	3.2224	3.2224
S3_H_T1717	5.7948	5.2598	5.1718	4.0824	3.5443	3.4483	3.2224	3.2224	3.2224
S3_H_T17172	6.5819	5.8578	5.2224	5.0258	4.6818	4.4481	3.2224	3.2224	3.2224
S3_H_T1718	6.3343	6.152	5.6864	5.1893	4.9229	5.2206	4.5778	3.2224	3.2224
S3_H_T17180	6.3343	5.715	5.6498	5.2889	4.2224	4.2555	3.2224	3.2224	3.2224
S3_H_T17181	5.7948	4.9384	6.6312	6.7914	6.1766	4.7211	4.6558	3.2224	3.2224
S3_H_T17182	6.3343	5.6536	6.2224	5.7743	5.3099	5.0726	3.8673	3.2224	3.2224
S3_H_T17183	7.4064	6.7586	6.5932	6.1893	5.5443	5.2206	4.6558	3.4431	3.2224
S3_H_T17185	7.1746	6.5217	5.8563	5.24	4.8074	5.033	3.4078	3.2224	3.2224
S3_H_T17189	6.4217	5.3004	6.6864	6.4264	6.5443	5.618	4.8673	3.2224	3.2224
S3_H_T1719	6.6316	5.5896	5.722	5.4694	4.8074	4.3867	3.5778	3.2224	3.2224
S3_H_T17190	6.5304	6.0839	5.6124	5.6299	4.3923	4.5636	3.2224	3.2224	3.2224
S3_H_T17194	8.2555	7.6603	7.4412	6.9819	6.3099	5.9074	5.2658	3.7868	3.5716
S3_H_T17195	6.273	5.6846	5.4937	5.1369	4.8074	4.7211	3.7298	3.2224	3.2224
S3_H_T17198	7.2874	7.0118	6.6682	6.3593	5.8663	5.721	5.2658	3.2224	3.2224
S3_H_T17200	8.2868	7.4144	7.2952	6.8249	6.5443	5.4778	5.0517	3.3278	3.7234
S3_H_T17202	6.209	5.6846	5.8239	5.4264	4.5443	4.507	3.7298	3.2224	3.2224
S3_H_T17204	8.1656	7.2165	7.1718	6.5317	6.1766	6.111	4.8673	3.8299	3.5716
S3_H_T17205	5.9201	4.9889	4.6864	3.8414	3.8074	3.2224	3.2224	3.2224	3.2224
S3_H_T17211	5.9595	5.1751	4.888	4.6299	3.8074	3.7702	3.2224	3.2224	3.2224
S3_H_T17218	6.4496	5.3783	5.2713	4.5519	4.3923	4.5636	3.2224	3.2224	3.2224
S3_H_T17219	6.6796	6.152	6.1193	6.0824	5.1293	5.2894	4.7298	3.2224	3.2224
S3_H_T17220	6.142	5.4157	5.5344	5.24	4.6818	4.0332	3.2224	3.2224	3.2224
S3_H_T17222	7.3332	6.5388	7.0369	6.5519	5.9773	5.2554	4.3147	3.2224	3.2224
S3_H_T17223	5.3953	4.5912	5.888	5.8738	6.0298	5.3225	4.8002	3.2224	3.2224
S3_H_T17227	7.4896	6.9493	6.5344	6.3127	5.3099	5.1485	4.1083	3.2224	3.2224
S3_H_T17230	6.6796	5.5896	6.7043	6.6108	6.0804	5.6704	5.1083	3.2224	3.2224
S3_H_T17231	8.2315	7.5384	7.504	7.1764	6.746	6.6179	5.8341	3.9123	3.8607
S3_H_T17232	7.9377	7.4328	7.3417	6.9518	6.5443	6.306	5.3147	3.9518	3.9247
S3_H_T17233	5.9979	5.0378	5.2224	5.0258	4.0298	3.5638	3.2224	3.2224	3.2224
S3_H_T17234	6.958	6.5723	6.1973	5.7395	4.6818	4.2555	3.9928	3.3278	3.2224
S3_H_T17236	6.4771	5.5564	6.0369	5.6674	5.4703	5.0726	3.8673	3.2224	3.2224
