id	1hr	2hr	3hr	4hr	5hr	6hr	7hr	9hr
S0_M_T589	6.1005	5.5128	6.281	5.3106	4.8363	4.491	2.5867	2.5867
S0_M_T624	2.5867	2.5867	3.7953	4.1703	4.7052	6.2559	3.9756	4.139
S0_M_T635	5.274	5.2205	5.9711	5.7812	5.56	4.8318	4.0426	2.5867
S0_M_T64	6.8036	6.3914	6.8339	6.62	6.3991	5.9411	5.4889	3.9275
S0_M_T646	5.6284	5.5128	6.3267	5.6771	6.2425	6.8122	6.0895	5.687
S0_M_T65	5.5568	5.7558	6.0819	5.7812	5.634	5.7535	4.7118	3.224
S0_M_T652	3.3171	4.4416	5.9123	5.8466	6.1944	6.4414	5.0417	3.8225
S0_M_T658	4.7401	5.4352	5.6133	5.1121	4.7052	4.7539	3.5839	2.5867
S0_M_T662	7.3713	6.8005	7.1838	7.0531	6.7039	6.6495	6.0736	3.7093
S0_M_T667	4.8033	5.4745	4.5015	4.0643	3.8992	3.5849	3.4909	2.5867
S0_M_T668	6.7242	6.7209	6.9842	6.5821	6.5211	6.1982	5.6043	4.182
S0_M_T67	4.1973	4.5923	5.6498	4.6813	5.0674	5.0432	4.6269	3.3041
S0_M_T670	5.593	5.4745	5.6133	4.8181	4.4831	4.0439	3.3916	2.5867
S0_M_T676	5.3606	5.8486	5.4981	5.5256	4.8976	4.6715	4.3377	2.7386
S0_M_T677	8.2724	8.124	8.1957	7.502	6.9553	6.7127	6.008	4.182
S0_M_T679	5.5197	4.8534	4.7898	4.2691	3.4852	3.5849	3.4909	2.5867
S0_M_T68	5.0835	5.9358	6.7013	6.6929	6.1944	6.4661	5.9037	4.4869
S0_M_T681	6.7077	6.3067	5.942	5.3106	5.5216	4.9762	4.9043	3.4166
S0_M_T683	3.9956	4.9682	5.9711	5.7812	5.5216	5.4905	4.4896	3.4166
S0_M_T686	4.5319	5.2205	5.4159	5.565	5.8355	5.1073	4.3377	3.5865
S0_M_T70	4.1973	4.5923	5.6498	4.6813	5.0674	5.0432	4.6269	3.3041
S0_M_T708	4.922	4.7288	5.72	5.1644	5.1198	5.391	4.5826	3.3801
S0_M_T713	5.9126	5.8783	5.8194	6.2119	5.8038	5.5836	4.7524	3.1391
S0_M_T722	5.3606	5.4352	5.5375	5.1121	4.6349	4.6715	3.9053	2.5867
S0_M_T734	5.4021	5.3947	6.0819	5.1644	4.6349	4.6715	3.8314	2.9021
S0_M_T74	6.4752	6.0444	6.6661	6.7959	6.3778	6.1684	5.9394	4.6491
S0_M_T742	4.6047	4.6621	4.7229	5.3563	5.013	5.628	4.5826	3.7093
S0_M_T746	2.5867	2.5867	2.9301	3.8257	3.7739	5.8689	3.2849	2.6797
S0_M_T754	3.9956	4.6621	5.942	5.1644	5.0674	5.5836	4.4896	3.2646
S0_M_T765	6.3325	6.018	6.304	6.2607	5.8355	5.4905	4.9043	2.9021
S0_M_T770	5.4815	5.622	6.5743	6.5821	6.2186	6.4163	4.8303	3.0489
S0_M_T799	7.5662	7.2379	7.2085	7.0392	6.2186	6.0098	4.7118	3.4522
S0_M_T802	6.3325	6.4907	7.0402	6.441	5.7714	5.1687	4.3901	3.1391
S0_M_T825	5.3606	5.1734	5.5375	5.1644	4.8363	4.491	3.2849	2.5867
S0_M_T847	5.2287	5.1734	6.349	5.8782	5.2665	5.1073	4.2268	2.6797
S0_M_T859	5.6284	5.1248	5.942	5.4851	5.2192	5.671	4.7919	3.3426
S0_M_T865	7.1582	6.9615	6.9842	7.2831	6.771	6.4661	6.1516	4.4521
S0_M_T867	7.0837	7.0937	7.1713	6.8607	6.7209	6.107	5.7518	4.0719
S0_M_T877	5.3606	5.6905	5.6853	5.9692	5.8968	5.4416	5.0417	3.0489
S0_M_T881	5.5197	5.4745	5.2358	5.4434	4.4008	4.2847	3.7535	2.5867
S0_M_T895	3.761	5.0223	5.2358	4.7513	5.5216	4.6715	4.6269	3.2646
S0_M_T920	5.5197	5.9073	6.1084	5.8143	5.7382	5.793	4.4407	2.5867
S0_M_T922	4.1	4.7288	5.2358	5.7127	4.8976	5.1687	3.5839	2.5867
S0_M_T931	2.5867	2.5867	4.1409	4.8181	5.5216	4.9762	3.9756	2.5867
S0_M_T953	2.9208	3.099	4.6528	4.6078	5.1704	6.1381	4.5368	3.7093
S0_M_T954	5.2287	5.5128	5.9711	5.6034	5.2665	4.491	3.2849	2.5867
S0_M_T956	6.15	5.8183	6.2095	6.2365	5.7714	5.2276	4.168	2.6183
S0_M_T964	3.3171	3.4543	5.2829	5.565	6.289	6.7928	4.9399	4.4521
S0_M_T965	5.2287	5.3947	6.4964	6.0821	5.9266	5.671	5.5127	4.4344
S0_M_T966	3.4807	3.6038	5.882	5.7473	6.1446	6.0753	4.7118	3.487
S0_M_T970	5.824	5.0744	5.2358	4.8819	4.3134	2.5867	2.7558	2.5867
S0_M_T976	5.593	5.622	6.2337	6.109	6.2186	5.7535	4.3901	2.5867
S0_M_T983	2.5867	2.5867	3.659	4.0643	4.2205	5.7129	3.5839	2.5867
S0_M_T985	6.5323	6.5472	7.3257	6.9226	6.9408	6.6919	6.0575	4.5703
S0_M_T998	3.4807	3.977	4.9149	5.2635	5.56	5.5836	4.0426	2.9527
S1_H_T1011	3.761	3.7392	5.0842	4.943	5.56	5.628	4.168	2.5867
S1_H_T1018	5.6284	5.9358	5.851	5.9092	5.0674	5.0432	3.4909	2.5867
S1_H_T1022	5.8541	5.5128	5.851	5.6407	5.013	4.9058	4.0426	2.7952
S1_H_T1023	5.3606	4.3599	5.4576	5.1644	4.561	4.491	2.7558	2.5867
S1_H_T1030	6.1255	5.622	5.8194	5.0016	4.7052	4.9762	4.2268	2.7386
S1_H_T1039	3.4807	3.099	6.3267	6.2365	6.9262	6.7533	4.8678	3.4166
S1_H_T104	4.674	5.3531	6.3927	6.0821	6.1944	6.4903	5.31	3.7385
S1_H_T1041	6.2212	6.018	6.414	6.2607	5.7043	5.0432	4.7524	2.5867
S1_H_T1051	5.7932	6.3707	6.6118	5.9692	5.6696	6.1684	5.3634	3.3041
S1_H_T1086	5.8837	5.5502	5.4159	5.1644	4.4831	4.3915	3.9756	2.5867
S1_H_T1095	5.4423	5.2661	5.72	6.1869	5.5975	5.7129	4.7919	3.487
S1_H_T1109	6.7077	6.432	6.1084	5.3106	5.0674	4.7539	4.67	2.7952
S1_H_T111	3.8831	4.7924	6.1849	5.8143	5.013	4.9762	3.7535	2.9021
S1_H_T1112	5.7617	5.1248	5.0299	4.7513	5.4821	5.1073	3.9053	3.224
S1_H_T1125	5.6629	5.8783	5.882	5.565	5.5975	4.2847	3.3916	2.6797
S1_H_T1152	3.3171	3.2876	4.9735	5.6407	5.0674	5.2276	4.3377	2.5867
S1_H_T1155	5.1819	5.1248	5.4576	5.5256	4.4831	4.7539	3.9053	2.5867
S1_H_T1158	5.9126	4.9682	5.4981	5.2635	4.4008	4.3915	3.8314	2.5867
S1_H_T1159	4.4552	4.5923	5.6133	5.4005	4.7052	5.1073	3.2849	2.6183
S1_H_T1161	5.7932	5.6567	5.4576	5.1644	4.7722	4.2847	3.9756	2.5867
S1_H_T1167	6.5872	5.9637	6.1084	6.0547	5.4821	4.9058	3.9756	2.5867
S1_H_T117	3.9956	4.4416	5.6853	5.5256	5.7043	4.9058	3.5839	2.5867
S1_H_T1222	6.4752	5.8183	6.1084	5.8143	5.8038	5.1073	4.0426	3.0489
S1_H_T1228	4.3743	5.1248	5.9123	5.6771	5.4821	5.7129	3.8314	2.5867
S1_H_T1248	2.5867	2.882	5.6498	5.0016	5.6696	5.9758	3.9756	3.6492
S1_H_T1262	6.3325	6.0703	5.9711	5.9092	5.5975	5.2276	4.3901	2.6183
S1_H_T1283	4.9778	4.5189	5.882	5.7127	4.9564	4.9762	4.2268	2.6183
S1_H_T1293	5.7295	4.5189	5.3729	4.8819	5.1198	4.2847	4.1066	2.6183
S1_H_T1296	5.7932	5.8183	6.0276	5.8782	5.2192	4.9762	4.3377	2.6183
S1_H_T1297	2.5867	2.5867	4.8537	5.3563	5.4821	6.2839	4.4896	3.3801
S1_H_T1299	5.1819	5.0744	6.1084	5.9692	5.4415	5.1073	3.7535	2.5867
S1_H_T1305	2.5867	2.5867	4.4195	4.3615	5.0674	5.793	3.7535	2.5867
S1_H_T1311	4.5319	4.5923	5.4981	5.7127	5.3997	5.1073	3.6712	2.5867
S1_H_T132	4.1973	5.1734	5.882	5.8143	5.5216	5.628	5.0085	2.8496
S1_H_T1324	5.3606	5.4352	5.4159	5.5256	4.3134	4.584	3.3916	2.5867
S1_H_T1325	6.4752	6.1208	6.5359	6.5031	5.9266	6.1982	5.4149	3.4522
S1_H_T1326	5.6966	5.1248	5.2829	5.3563	4.4008	3.9065	3.9053	2.5867
S1_H_T1328	4.8033	5.1248	5.6498	5.1644	4.9564	4.6715	3.9756	2.5867
S1_H_T1331	6.289	5.9911	6.1343	5.1121	4.6349	3.9065	3.8314	2.5867
S1_H_T1334	2.5867	4.0827	5.3286	4.3615	5.6696	5.4905	3.7535	2.5867
S1_H_T1344	5.7295	5.5865	4.9149	5.3106	4.6349	3.9065	3.6712	2.5867
S1_H_T1350	4.6047	5.7558	6.4558	6.7453	7.0257	6.6278	5.5362	4.6024
S1_H_T1351	5.7295	5.3531	6.1849	6.0547	5.7714	5.5836	4.5826	2.6183
S1_H_T1372	5.318	4.9682	6.0819	5.5256	5.3997	5.7129	5.1368	2.7952
S1_H_T1395	3.6276	4.5189	6.1084	6.0547	6.0397	6.3114	4.4896	3.5209
S1_H_T1396	5.5568	5.8183	6.0276	5.9982	5.634	5.1073	4.168	2.5867
S1_H_T1397	5.7932	5.4745	5.0299	5.1644	4.4008	4.3915	3.2849	2.7386
S1_H_T141	7.045	6.9615	6.9407	6.8607	6.597	6.8313	6.1667	4.4344
S1_H_T1410	5.6629	5.4352	5.2829	4.8819	4.7052	4.491	4.0426	2.5867
S1_H_T1412	5.8541	6.2398	6.0819	6.1354	5.5975	4.3915	4.7118	2.5867
S1_H_T1429	5.9689	4.9682	5.5759	4.7513	4.9564	4.0439	3.9756	2.5867
S1_H_T1430	3.1325	3.863	5.5375	5.0016	5.2192	5.4416	4.3901	3.7093
S1_H_T1433	2.5867	2.5867	4.0346	5.2148	5.4415	6.0429	4.5368	4.0015
S1_H_T1445	5.8541	5.2205	5.0842	4.7513	4.8976	3.1705	3.3916	2.5867
S1_H_T1479	5.7617	4.7288	5.4159	5.3106	4.561	3.5849	4.6269	2.5867
S1_H_T1483	4.9778	5.3947	6.0276	5.7812	5.3997	5.1073	4.6269	3.6492
S1_H_T1485	3.9956	3.977	5.787	5.4434	4.3134	3.7547	3.9053	2.5867
S1_H_T1490	3.6276	3.4543	5.7539	5.3106	5.8968	5.671	4.4896	3.1821
S1_H_T1496	6.6227	5.8183	4.5792	4.8181	3.4852	2.5867	2.5867	2.5867
S1_H_T1500	3.9956	4.1811	6.0276	5.4005	6.2186	5.9758	4.6269	2.5867
S1_H_T1507	6.3954	6.5286	6.6838	6.0267	6.3117	6.2559	5.5127	3.7093
S1_H_T1524	4.4552	4.5189	5.4981	5.3563	5.1704	5.2842	4.168	2.5867
S1_H_T1527	4.5319	5.0223	5.6853	4.6813	4.3134	4.6715	3.1697	2.5867
S1_H_T153	3.6276	4.3599	5.4159	5.6407	5.5216	4.7539	3.3916	2.5867
S1_H_T1531	5.2287	4.7288	5.4576	5.1644	5.1704	5.1073	3.5839	2.5867
S1_H_T1533	6.9505	6.5472	6.6661	6.5627	6.0123	5.1687	4.9043	2.8496
S1_H_T1540	3.761	3.7392	5.0299	5.4005	5.5975	5.1687	4.2833	2.6797
S1_H_T156	4.7401	4.3599	5.7539	5.0579	5.1198	5.4416	3.9053	2.5867
S1_H_T1566	7.5386	7.2493	7.1332	7.1599	6.9839	6.3648	5.7112	3.6182
S1_H_T1586	4.8638	5.2661	5.4159	5.4851	5.4821	4.9762	4.3901	3.3041
S1_H_T1595	6.7077	6.6367	6.9842	6.9377	6.3991	5.8689	4.9746	2.5867
S1_H_T161	5.593	5.3531	5.187	5.4005	4.8363	5.1073	4.0426	2.5867
S1_H_T1614	5.8541	6.5286	6.414	6.462	6.5211	6.3114	5.2825	3.4166
S1_H_T1615	6.1005	6.6192	6.5552	6.0547	5.4415	5.2276	4.8303	3.1391
S1_H_T1627	5.2287	5.1734	5.2829	5.2148	5.2665	4.7539	4.168	3.224
S1_H_T163	5.593	5.9911	6.7856	6.376	6.1191	6.4661	5.6043	4.2443
S1_H_T1636	6.8342	6.6015	6.8807	6.7106	6.5014	6.2273	5.5592	3.1821
S1_H_T1659	7.1702	6.4518	6.6661	6.0821	5.8665	5.2842	4.67	3.224
S1_H_T1666	7.2404	6.8311	6.349	6.0267	6.1697	5.4416	4.9399	3.0489
S1_H_T1677	5.6629	4.9682	5.2829	4.7513	4.1211	2.9079	2.5867	2.5867
S1_H_T1701	2.5867	3.2876	5.2358	5.4851	5.3997	5.8689	4.3377	3.224
S1_H_T1704	4.6047	4.2733	5.72	6.0267	6.0123	6.5141	4.67	3.4522
S1_H_T1725	4.7401	5.3947	5.3729	4.6813	4.561	4.2847	3.5839	2.5867
S1_H_T1736	5.6284	5.6905	6.055	5.4851	5.2192	4.0439	3.6712	2.5867
S1_H_T1737	6.289	6.4714	6.7525	6.2607	6.4815	6.2839	5.1671	2.8496
S1_H_T1753	4.4552	4.5189	5.5759	4.4483	4.7722	5.2276	3.6712	2.8496
S1_H_T1756	2.5867	2.5867	5.5759	5.8782	6.1446	6.1684	4.4896	3.9275
S1_H_T177	5.4021	5.4352	6.2575	5.8466	5.7714	6.0753	5.1671	3.7093
S1_H_T1778	7.3074	7.3158	7.1838	6.7281	6.6154	6.1982	5.1058	3.6182
S1_H_T1779	4.1973	4.1811	5.187	5.6034	5.2192	4.491	4.0426	2.5867
S1_H_T1780	7.2631	6.6878	6.4351	6.5233	5.4821	5.1687	5.44	3.902
S1_H_T1786	4.6047	4.5189	5.6853	5.3563	5.3566	5.0432	4.2268	2.5867
S1_H_T180	6.0493	5.5128	5.9996	5.6407	5.5216	4.8318	4.4896	2.9021
S1_H_T1808	5.1819	5.7235	5.5759	5.565	5.0674	5.4416	4.0426	2.5867
S1_H_T1811	6.2212	6.4907	6.7013	6.7453	6.5404	6.5834	5.7913	4.0488
S1_H_T1812	3.9956	4.9119	5.4981	4.943	5.56	4.0439	4.2833	2.5867
S1_H_T1824	6.15	6.6192	6.8339	6.1614	5.9557	5.8315	4.3377	3.0016
S1_H_T1826	6.7242	5.8783	5.787	5.4434	4.9564	4.1693	4.3377	2.6797
S1_H_T1830	3.3171	4.1811	6.1598	6.376	6.289	6.9927	5.2825	4.38
S1_H_T1836	5.274	5.4352	6.0819	6.0821	5.634	5.9055	4.5826	4.0015
S1_H_T1866	4.8033	5.0223	6.6118	6.6569	7.1188	6.9053	5.648	3.6492
S1_H_T187	2.9208	3.863	5.3729	5.9395	5.634	5.9411	4.7118	2.9527
S1_H_T1870	3.1325	3.977	5.6853	5.7473	5.3123	5.8689	4.67	3.0489
S1_H_T1874	6.1255	6.2168	6.6661	6.3536	5.9266	5.9411	4.9399	3.4166
S1_H_T1876	6.15	5.3531	5.9123	5.8782	5.8038	5.4416	4.67	3.0947
S1_H_T1877	6.7881	6.7209	6.5359	6.2365	5.013	4.9762	3.9756	2.5867
