id	dg	x0	t0	mse	rsq
S1_L_T9268	0.45901	6.5618	1	0.095185	0.93243
S1_L_T9269	0.129	5.2999	1	0.39145	0.20952
S1_L_T9282	0.27628	5.7773	1	0.2498	0.65577
S1_L_T9288	0.45034	8.0216	1	0.22404	0.84947
S1_L_T9289	0.35929	6.0917	1	0.21131	0.79204
S1_L_T9304	0.1	4.1769	1	1.3037	0.093062
S1_L_T931	0.18738	5.1727	1	0.67718	0.24428
S1_L_T9310	0.25916	6.3969	1	0.44492	0.48483
S1_L_T9317	0.25708	5.5376	1	0.34424	0.54483
S1_L_T9321	0.1	3.5467	1	0.81821	0.10326
S1_L_T9324	0.53508	7.2451	1	0.12101	0.93651
S1_L_T9326	0.20658	5.4843	1	0.83498	0.24164
S1_L_T933	0.43796	6.6067	1	0.1042	0.91985
S1_L_T9335	0.32601	6.129	1	0.30532	0.68457
S1_L_T9338	0.24214	6.6338	1	0.70039	0.34292
S1_L_T9349	0.21943	5.7461	1	0.9451	0.24106
S1_L_T9355	0.28081	6.348	1	1.1339	0.30242
S1_L_T9356	0.23191	5.6164	1	0.13731	0.70947
S1_L_T9372	0.35745	6.7137	1	0.24879	0.76201
S1_L_T9375	0.25915	5.8565	1	0.48134	0.4652
S1_L_T9381	0.35785	6.2974	1	0.38025	0.67738
S1_L_T9389	0.3224	5.067	1	0.1931	0.77042
S1_L_T9394	0.1	4.329	1	2.0427	0.08173
S1_L_T9398	0.19907	5.7627	1	0.73771	0.25088
S1_L_T9399	0.21309	6.6718	1	0.48474	0.36869
S1_L_T9400	0.43775	6.819	1	0.16678	0.8775
S1_L_T9406	0.1	5.0073	1	1.7427	0.042428
S1_L_T9419	0.22291	6.2068	1	0.39311	0.44072
S1_L_T9433	0.28062	5.619	1	0.09421	0.839
S1_L_T9436	0.31744	5.8278	1	0.37405	0.6268
S1_L_T9437	0.29608	6.158	1	0.3924	0.58208
S1_L_T9456	0.1	5.2038	1	1.6169	0.022583
S1_L_T9459	0.37945	5.6498	1	0.038856	0.95851
S1_L_T9465	0.1154	5.7543	1	0.43808	0.15932
S1_L_T950	0.28699	5.5379	1	0.67588	0.43173
S1_L_T9500	0.26033	5.6739	1	0.62509	0.40331
S1_L_T9503	0.40685	6.6823	1	0.1377	0.88227
S1_L_T9512	0.1	5.1277	1	0.54555	0.058989
S1_L_T9517	0.48358	7.057	1	0.14316	0.91058
S1_L_T9520	0.44443	7.345	1	0.17858	0.87335
S1_L_T9540	0.24722	7.4238	1	0.40944	0.48202
S1_L_T9555	0.32206	5.4044	1	0.17824	0.78392
S1_L_T9571	0.31597	6.0016	1	0.2755	0.69319
S1_L_T9573	0.10375	4.9254	1	1.1965	0.053109
S1_L_T9592	0.33998	6.3265	1	0.19746	0.78492
S1_L_T9607	0.22948	5.3358	1	0.4133	0.4427
S1_L_T9614	0.30459	6.1831	1	0.47746	0.54781
S1_L_T9630	0.1613	5.9166	1	0.34786	0.31801
S1_L_T9635	0.26312	5.9813	1	0.32601	0.5697
S1_L_T964	0.42462	6.1385	1	0.035107	0.96971
S1_L_T9640	0.40474	7.5073	1	0.10718	0.90502
S1_L_T9642	0.11391	5.32	1	0.61278	0.11662
S1_L_T9651	0.1	4.0358	1	1.9662	0.0046045
S1_L_T9666	0.28125	5.711	1	0.097984	0.83424
S1_L_T9667	0.22741	5.0937	1	0.65005	0.33155
S1_L_T9678	0.42023	7.1835	1	0.35049	0.75852
S1_L_T9688	0.1	4.5919	1	1.0772	0.015741
S1_L_T9692	0.33328	5.6099	1	0.27571	0.71523
S1_L_T971	0.43288	6.7616	1	0.28866	0.80187
S1_L_T9710	0.1	4.5556	1	1.1805	0.020426
S1_L_T9717	0.1	4.2222	1	1.2699	0.0012963
S1_L_T9723	0.34491	5.4708	1	0.32147	0.69762
S1_L_T9726	0.46318	9.3336	1	0.4013	0.76921
S1_L_T9730	0.46568	5.9778	1	0.04265	0.96942
S1_L_T9733	0.32995	5.998	1	0.38492	0.63811
S1_L_T9745	0.50705	6.5655	1	0.13864	0.92039
S1_L_T9748	0.28982	6.6692	1	0.21093	0.71285
S1_L_T9761	0.36795	5.5895	1	0.13086	0.86578
S1_L_T9763	0.34307	6.6143	1	0.42896	0.63108
S1_L_T9764	0.1	4.346	1	1.6758	0.14981
S1_L_T9776	0.41923	5.9479	1	0.024566	0.97807
S1_L_T9786	0.1	4.831	1	1.835	0.0036067
S1_L_T9797	0.17421	5.4235	1	0.97559	0.16244
S1_L_T9819	0.16005	5.6138	1	0.37308	0.29975
S1_L_T982	0.1	4.4826	1	1.2705	0.018711
S1_L_T9825	0.36949	5.2915	1	0.25902	0.76668
S1_L_T9829	0.3023	5.8723	1	0.27619	0.67349
S1_L_T9832	0.39738	7.5138	1	0.58779	0.62615
S1_L_T9839	0.20481	5.6864	1	0.33214	0.44051
S1_L_T9846	0.43632	7.0393	1	0.20139	0.85493
S1_L_T9858	0.39969	7.1746	1	0.25695	0.79491
S1_L_T9864	0.28162	5.9075	1	0.3736	0.56961
S1_L_T9872	0.1	4.0507	1	1.3228	0.041021
S1_L_T9877	0.26921	6.8885	1	0.44591	0.50329
S1_L_T9891	0.39852	5.614	1	0.15321	0.866
S1_L_T9921	0.46849	6.431	1	0.21825	0.86244
S1_L_T9922	0.46652	7.0064	1	0.2037	0.86947
S1_L_T9925	0.35753	6.9418	1	0.51737	0.60635
S1_L_T9928	0.14839	5.972	1	0.49227	0.21805
S1_L_T9931	0.20786	6.3494	1	1.0322	0.20695
S1_L_T9936	0.37956	6.0557	1	0.097052	0.90248
S1_L_T995	0.1139	4.7249	1	0.98809	0.075657
S1_L_T9951	0.39203	6.1664	1	0.22922	0.80695
S1_L_T9958	0.34894	5.8047	1	0.30295	0.71474
S1_L_T9959	0.35902	6.0811	1	0.24397	0.76711
S1_L_T9963	0.38257	6.4344	1	0.47764	0.6564
S1_L_T9982	0.32876	6.8871	1	0.08371	0.8895
S2_H_T1001	0.28337	6.0079	1	0.47779	0.51167
S2_H_T1003	0.24593	5.9242	1	0.23234	0.61876
S2_H_T101	0.10568	5.5261	1	0.86931	0.074153
S2_H_T1019	0.40983	6.9157	1	0.33887	0.75551
S2_H_T1022	0.1	4.8955	1	1.7149	0.14915
S2_H_T1029	0.22428	5.9012	1	0.51045	0.38056
S2_H_T1041	0.1	2.7688	1	1.3209	0.048169
S2_H_T1059	0.1	3.0243	1	1.4154	0.30693
S2_H_T1064	0.3049	5.7765	1	0.35687	0.61892
S2_H_T1070	0.2638	5.4897	1	0.27319	0.61362
S2_H_T1079	0.1	4.0613	1	1.3635	0.031948
S2_H_T1092	0.40675	6.4976	1	0.25187	0.80374
S2_H_T1095	0.1	4.3641	1	0.32089	0.048555
S2_H_T1097	0.15838	5.6534	1	0.48012	0.24569
S2_H_T1098	0.31426	7.2063	1	0.20547	0.74978
S2_H_T1101	0.32107	6.6682	1	0.66754	0.49051
S2_H_T1103	0.1	4.9375	1	1.5101	0.030065
S2_H_T1120	0.10468	4.9574	1	1.0578	0.060666
S2_H_T1127	0.26403	5.9075	1	0.39004	0.52703
S2_H_T1135	0.35797	5.8265	1	0.15	0.84192
S2_H_T1151	0.32765	5.729	1	0.13582	0.8313
S2_H_T1154	0.28267	5.4196	1	0.43529	0.53367
S2_H_T1155	0.17956	6.9934	1	0.37371	0.34975
S2_H_T1161	0.39829	6.6558	1	0.099039	0.90897
S2_H_T1180	0.32841	5.9703	1	0.23343	0.7423
S2_H_T1208	0.1	4.2523	1	0.62227	0.056352
S2_H_T1228	0.36862	5.4263	1	0.069855	0.92382
S2_H_T1231	0.10725	4.7898	1	0.95371	0.069929
S2_H_T1233	0.28022	5.7185	1	0.53257	0.47895
S2_H_T1236	0.39837	6.1242	1	0.07102	0.93302
S2_H_T1238	0.12263	5.2084	1	0.98977	0.086521
S2_H_T1249	0.30025	6.2737	1	0.17911	0.75833
S2_H_T125	0.1	4.6441	1	1.3771	1.2137e-07
S2_H_T1262	0.31409	7.5293	1	0.12023	0.83648
S2_H_T1286	0.36769	6.1002	1	0.13638	0.86073
S2_H_T1287	0.33737	6.275	1	0.40346	0.63753
S2_H_T1292	0.24871	5.3691	1	0.28561	0.5745
S2_H_T1301	0.1	4.5369	1	1.0859	0.079556
S2_H_T1308	0.172	6.4509	1	0.31619	0.36841
S2_H_T1318	0.26407	6.5023	1	0.38994	0.52715
S2_H_T1324	0.1	4.0832	1	1.3203	0.10288
S2_H_T1352	0.1	4.4551	1	0.94163	0.020894
S2_H_T1361	0.1	3.9931	1	0.92155	0.044789
S2_H_T1363	0.26751	7.099	1	0.51048	0.46638
S2_H_T1365	0.1	4.4946	1	1.1756	0.0046567
S2_H_T1374	0.27122	6.0084	1	0.56764	0.44688
S2_H_T1376	0.1	4.3181	1	1.2928	0.0023178
S2_H_T1378	0.22122	6.2766	1	0.50763	0.3754
S2_H_T1382	0.1	5.3529	1	0.60706	0.076154
S2_H_T1388	0.36835	6.6581	1	0.098307	0.89588
S2_H_T1389	0.45301	7.8504	1	0.30729	0.80633
S2_H_T139	0.20241	6.9168	1	0.31709	0.44613
S2_H_T1394	0.1	4.5135	1	1.0274	0.00353
S2_H_T1403	0.1	4.0743	1	1.9488	0.030531
S2_H_T1409	0.24407	6.0573	1	0.14219	0.72314
S2_H_T1412	0.22866	6.1174	1	0.7718	0.29694
S2_H_T1415	0.1	5.1283	1	0.91362	0.0371
S2_H_T1416	0.32812	6.5787	1	0.21686	0.75581
S2_H_T142	0.44143	6.5015	1	0.12322	0.90791
S2_H_T1450	0.24621	6.1185	1	0.39257	0.4905
S2_H_T1453	0.19014	6.2587	1	0.27358	0.45171
S2_H_T1470	0.30525	6.934	1	0.36548	0.61381
S2_H_T1471	0.33172	7.7747	1	0.19079	0.7824
S2_H_T1476	0.18912	5.2505	1	0.099197	0.69211
S2_H_T148	0.1	6.6132	1	1.198	0.019535
S2_H_T1493	0.40335	7.7608	1	0.22122	0.82095
S2_H_T1501	0.34666	5.8157	1	0.095898	0.88652
S2_H_T1515	0.37046	7.1667	1	0.31452	0.7312
S2_H_T1541	0.40394	6.7154	1	0.20554	0.83191
S2_H_T1543	0.21428	5.921	1	1.2366	0.18798
S2_H_T1546	0.29065	6.8386	1	0.23154	0.69463
S2_H_T1575	0.15274	5.3108	1	0.94945	0.13285
S2_H_T158	0.44328	9.116	1	0.10907	0.91825
S2_H_T1585	0.1	4.2561	1	1.2273	0.0031064
S2_H_T1592	0.28626	6.0229	1	0.41857	0.54966
S2_H_T1606	0.26202	6.2333	1	0.32082	0.57158
S2_H_T1610	0.1	4.3821	1	0.96691	0.045867
S2_H_T1616	0.53809	6.7026	1	0.24947	0.87858
S2_H_T1619	0.1	4.7135	1	0.96665	0.0042754
S2_H_T1621	0.1	4.161	1	1.433	0.00037232
S2_H_T1631	0.1	5.5579	1	1.0391	0.028866
S2_H_T1632	0.27954	6.1065	1	0.45052	0.51954
S2_H_T1654	0.30573	5.9634	1	0.17534	0.76871
S2_H_T1656	0.37919	5.8345	1	0.10214	0.89771
S2_H_T1658	0.39951	5.2713	1	0.11704	0.89475
S2_H_T1681	0.39394	7.4762	1	0.44162	0.6866
S2_H_T1711	0.35028	6.8888	1	0.19879	0.79373
S2_H_T1717	0.36569	6.2322	1	0.24952	0.76965
S2_H_T1721	0.35883	6.7219	1	0.31401	0.71881
S2_H_T1722	0.32831	6.5538	1	0.42979	0.60991
S2_H_T1725	0.35744	5.9526	1	0.2618	0.75262
S2_H_T1738	0.37864	6.2684	1	0.23647	0.79078
S2_H_T1746	0.43534	6.9051	1	0.33611	0.77853
S2_H_T1761	0.1	4.2521	1	1.2932	0.0097254
S2_H_T1773	0.1	3.6914	1	1.951	0.15736
S2_H_T1774	0.35872	5.3713	1	0.015962	0.98049
S2_H_T1778	0.2911	6.3392	1	0.19924	0.72613
S2_H_T1785	0.1	4.1823	1	1.1853	0.0096498
S2_H_T1794	0.1	6.5269	1	0.62816	0.016204
S2_H_T1833	0.1	4.7462	1	1.4478	0.0006176
S2_H_T1849	0.30665	6.6232	1	0.51555	0.53207
S2_H_T1853	0.3311	5.4799	1	0.20922	0.76563
S2_H_T1858	0.11105	4.714	1	0.8177	0.085941
S2_H_T1864	0.1	4.6094	1	0.67937	0.082526
S2_H_T1878	0.1	4.2892	1	1.4671	0.13963
S2_H_T188	0.20057	4.9553	1	0.3071	0.44954
S2_H_T1880	0.32429	6.064	1	0.3606	0.64516
S2_H_T1891	0.30627	6.0215	1	0.33941	0.63275
S2_H_T1893	0.3974	5.8282	1	0.071792	0.93204
S2_H_T1900	0.23184	5.7478	1	0.64977	0.34026
S2_H_T1909	0.1	4.9299	1	0.76603	0.04091
S2_H_T191	0.4833	7.7946	1	0.43222	0.77112
S2_H_T1917	0.16258	4.9282	1	0.62508	0.20862
S2_H_T192	0.21721	6.1191	1	0.41683	0.41372
S2_H_T1928	0.1	3.6565	1	1.2727	0.088628
S2_H_T1950	0.24738	7.0738	1	0.17435	0.68636
S2_H_T1954	0.37155	6.0012	1	0.14634	0.85468
S2_H_T1958	0.36309	5.593	1	0.091601	0.89973
S2_H_T1964	0.1	4.0261	1	1.4503	0.032796
S2_H_T197	0.35358	5.7725	1	0.16427	0.82593
S2_H_T1981	0.23018	6.2148	1	0.54391	0.37783
S2_H_T1982	0.17412	4.7244	1	0.71262	0.20964
S2_H_T1992	0.19965	5.8151	1	0.65379	0.27542
S2_H_T2000	0.1	3.8156	1	1.284	0.035263
S2_H_T2004	0.39101	6.5121	1	0.39668	0.70613
S2_H_T2006	0.3257	6.9449	1	0.49051	0.57416
S2_H_T2015	0.41614	6.7217	1	0.25641	0.80808
S2_H_T2019	0.1	4.7947	1	0.62165	0.071188
