id, 1hr, 2hr, 3hr, 4hr, 6hr, 7hr, 8hr, 9hr,10hr
S1_H_T2857,7.4896,6.9746,6.722,6.4264,5.8074,5.618,4.1083,3.2224,3.2224
S1_H_T2862,4.3412,3.3062,5.4519,5.6299,5.4703,3.9507,3.2224,3.2224,3.2224
S1_H_T2863,7.1407,6.3389,6.5344,6.2889,5.8663,5.2206,3.9928,3.2224,3.2224
S1_H_T2865,7.1746,6.4332,5.7907,5.4264,4.8074,4.8631,4.1083,3.2224,3.2224
S1_H_T2868,7.1407,6.3962,6.0369,5.9055,5.3923,4.8173,3.5778,3.2224,3.2224
S1_H_T2870,4.3412,3.2224,6.2713,6.5317,6.3517,4.7211,4.7298,3.2224,3.2224
S1_H_T2876,6.2414,5.4522,5.5739,4.9055,4.8074,4.618,3.5778,3.2224,3.2224
S1_H_T2878,7.3028,6.7142,6.0083,5.5113,4.2224,4.3226,3.4078,3.2224,3.2224
S1_H_T288,6.2414,5.085,5.5739,5.0824,4.0298,3.5638,3.2224,3.2224,3.2224
S1_H_T2881,6.6796,5.8847,6.6864,6.8249,6.6487,6.2206,5.362,3.2224,3.2224
S1_H_T2884,6.2414,5.4157,4.8239,3.9669,4.5443,3.4483,3.2224,3.2224,3.2224
S1_H_T2885,6.9964,6.3774,6.0923,5.8414,5.1293,4.618,3.8673,3.2224,3.2224
S1_H_T2889,6.4217,5.622,6.1458,5.9366,6.0298,5.0726,4.4953,3.2224,3.2224
S1_H_T2895,5.506,5.4522,5.1193,4.382,3.8074,4.1112,3.2224,3.2224,3.2224
S1_H_T290,7.1578,6.5888,6.5543,5.9366,5.3923,4.5636,3.7298,3.2224,3.2224
S1_H_T2900,7.3332,6.2994,5.9791,5.6299,5.0298,4.9506,3.5778,3.2224,3.2224
S1_H_T2906,8.8136,8.1949,7.5443,7.1502,6.6487,6.3225,5.5778,4.6246,4.2587
S1_H_T291,6.504,5.8578,6.2224,6.4481,5.6147,4.9075,3.9928,3.2224,3.2224
S1_H_T2911,7.5294,6.5217,6.0923,5.8414,5.4703,5.3866,4.3147,3.2224,3.2224
S1_H_T2918,6.0353,5.3783,5.2224,4.8414,4.8074,4.1112,3.4078,3.2224,3.2224
S1_H_T2920,6.1073,5.3783,4.888,4.382,4.0298,3.7702,3.4078,3.2224,3.2224
S1_H_T2923,5.8795,4.9384,4.4519,4.1893,3.5443,3.2224,3.2224,3.2224,3.2224
