True_Degradation_Rate,Predicted_Degradation_Rate
-2.4319,-2.5300284649815197
-2.1042,-3.074293002819683
-2.6523,-2.532967622351091
-1.2212,-1.292314874835317
-1.3068,-0.4220377152960786
-1.5151,-1.6116511445943549
-2.0737,-2.00800600463484
-2.3966,-2.365714500825965
-3.0357,-2.0770800406495176
-2.2378,-2.5336049070260036
-3.2304,-3.1735155203031473
-1.2935,-1.406454102485588
-2.7909,-2.5274272038015746
-2.043,-2.4880850717156147
-1.8331,-1.5483168757871917
-2.5446,-1.855985266791898
-2.3332,-1.8998108650723602
-2.3676,-1.851498973769818
-1.7409,-2.104213780016409
-1.2798,-1.5755266600778186
-2.6676,-2.05056980601618
-2.4042,-2.175185444099935
-1.6543,-1.5188274183070356
-2.3385,-2.522627419962636
-1.8618,-2.222730917749585
-1.3251,-1.6732293571588106
-1.8765,-1.7411904690482347
-1.5921,-2.2835906304015348
-1.5887,-1.3728314361658465
-1.9006,-1.537873419356825
-1.3552,-1.3216725435454229
-1.8109,-2.211742356687983
-1.6226,-1.3925608580337046
-1.2167,-1.4599039363141837
-1.7813,-1.835053232738264
-1.5439,-1.4212226714179885
-1.9068,-1.7850460957313141
-1.1601,-1.0706132104064023
-2.6497,-2.4544303881284
-2.1045,-2.540747594119548
-3.1394,-2.4641599814283643
-1.2614,-1.3416959865626965
-1.2502,-2.1636770623079977
-1.5172,-1.5922054200058247
-2.5886,-2.591362929687347
-1.3804,-1.324269883329868
-1.6986,-1.953344126451798
-2.3569,-2.4130978922880284
-1.4469,-1.3988747344178112
-1.4508,-1.3431209009455998
-2.0743,-1.965948856593308
-2.4824,-1.6018325922354226
-1.3844,-1.9528161521235567
-2.299,-2.704967651468214
-1.3399,-1.4032215541485962
-2.1301,-2.0237369705968744
-1.6071,-2.0410064166862774
-2.2676,-2.979970702219969
-2.8333,-2.345554655498473
-1.092,-1.4113571467048993
-2.1185,-1.971322943821974
-1.7208,-1.8094154602995423
-1.1415,-1.3893351454735205
-1.5113,-1.1461376037391822
-2.0175,-2.538535797373556
-2.6911,-2.302185463768914
-2.4294,-2.5649189078847794
-1.3863,-2.1413557041901323
-2.6338,-2.4727772361589873
-2.4587,-2.578502066547437
-1.2405,-1.174992694142369
-1.6779,-1.1996389170270683
-2.005,-2.2046146881472333
-1.7928,-2.651828722763672
-2.0644,-2.104935276071517
-1.8495,-2.1254635611019284
-2.0652,-1.8068386087636485
-2.5259,-2.5671630721107013
-2.0777,-2.3408577451697536
-1.0869,-1.2775195617988715
-1.3378,-1.2536032389889415
-2.1221,-2.2534195336111984
-1.403,-1.440777469862538
-2.2161,-1.8695226409411942
-1.5624,-1.6444961492748231
-1.8618,-2.020218236446888
-1.8804,-1.7691094993422705
-2.4577,-2.639639147601378
-1.2581,-1.0206968923631432
-1.5987,-1.4369666112790713
-1.2836,-1.6676762846047883
-2.7367,-3.154686304424396
-1.9265,-1.7500759697025354
-1.4199,-1.5563673405897587
-5.0,-2.645823695462032
-5.0,-2.5548084666340802
-2.4613,-2.7457177205356422
-2.8203,-2.312385473120699
-2.3455,-2.5771415726718887
-1.8834,-2.0098823963169896
-1.8505,-1.7995949147507653
-2.0147,-1.9980987982100433
-2.5411,-2.4518501179328327
-2.181,-2.9526363403244735
-2.5845,-1.8958864046544461
-1.1919,-1.4115627606858134
-5.0,-2.799205250953549
-1.341,-1.4134895912475836
